circuitRef,name,location,country,lat,lon
jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767
zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
dallas,Fair Park,Dallas,USA,32.7774,-96.7587
brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
estoril,Autodromo do Estoril,Estoril,Portugal,38.7506,-9.39417
