circuitRef,name,location,country,lat,lon
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
galvez,Autodromo Juan y Oscar Galvez,Buenos Aires,Argentina,-34.6943,-58.4593
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
