circuitRef,name,location,country,lat,lon
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
