circuitRef,name,location,country,lat,lon
phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
estoril,Autodromo do Estoril,Estoril,Portugal,38.7506,-9.39417
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
