circuitRef,name,location,country,lat,lon
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
portimao,Autódromo Internacional do Algarve,Portimao,Portugal,37.232,-8.628
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647
red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
lusail,Losail International Circuit,Lusail,Qatar,25.490,51.452
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.628,39.105
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
