circuitRef,name,location,country,lat,lon
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
