circuitRef,name,location,country,lat,lon
jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
estoril,Autodromo do Estoril,Estoril,Portugal,38.7506,-9.39417
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056
kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767
adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
