circuitRef,name,location,country,lat,lon
red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647
red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
mugello,Autodromo internazionale del Mugello,Mugello,Italy,43.996,11.370
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
portimao,Autódromo Internacional do Algarve,Portimao,Portugal,37.232,-8.628
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
